Country,1000kwh,5000kwh,10000kwh,25000kwh,50000kwh,100000kwh
Angola,24250.85,112435.75,222666.88,557769.52,1113334.42,2226668.85
Albania,8818.49,41887.83,83775.66,207234.53,414469.05,826733.48
